model,num_keys,num_updates,fvq_acc,cvq_acc,gap,fvq_ci_lower,fvq_ci_upper,cvq_ci_lower,cvq_ci_upper,n_trials,max_trials,source_file
gemini-2.5-flash,25,10,1.0,0.92,0.08,1.0,1.0,0.8533,0.9733,75,200,experiments_cloud/results/semantic/gemini-2.5-flash/sweep_full_20260301_144813.json
gemini-2.5-flash,25,15,1.0,0.85,0.15,1.0,1.0,0.77,0.91,100,200,experiments_cloud/results/semantic/gemini-2.5-flash/sweep_full_20260301_144813.json
gemini-2.5-flash,25,20,0.992,0.856,0.136,0.976,1.0,0.792,0.912,125,200,experiments_cloud/results/semantic/gemini-2.5-flash/sweep_full_20260301_144813.json
gemini-2.5-flash,25,30,0.995,0.625,0.37,0.985,1.0,0.55,0.695,200,200,experiments_cloud/results/semantic/gemini-2.5-flash/sweep_full_20260301_144813.json
gemini-2.5-flash,25,50,1.0,0.42,0.58,1.0,1.0,0.355,0.485,200,200,experiments_cloud/results/semantic/gemini-2.5-flash/sweep_full_20260301_144813.json
gemini-2.5-flash,30,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,50,200,experiments_cloud/results/semantic/gemini-2.5-flash/sweep_full_20260301_144813.json
gemini-2.5-flash,30,5,1.0,0.98,0.02,1.0,1.0,0.94,1.0,50,200,experiments_cloud/results/semantic/gemini-2.5-flash/sweep_full_20260301_144813.json
gemini-2.5-flash,30,10,1.0,0.85,0.15,1.0,1.0,0.78,0.92,100,200,experiments_cloud/results/semantic/gemini-2.5-flash/sweep_full_20260301_144813.json
gemini-2.5-flash,30,15,1.0,0.86,0.14,1.0,1.0,0.79,0.93,100,200,experiments_cloud/results/semantic/gemini-2.5-flash/sweep_full_20260301_144813.json
gemini-2.5-flash,30,20,1.0,0.7486,0.2514,1.0,1.0,0.6857,0.8114,175,200,experiments_cloud/results/semantic/gemini-2.5-flash/sweep_full_20260301_144813.json
gemini-2.5-flash,30,30,1.0,0.485,0.515,1.0,1.0,0.415,0.5551,200,200,experiments_cloud/results/semantic/gemini-2.5-flash/sweep_full_20260301_144813.json
gemini-2.5-flash,30,50,0.995,0.375,0.62,0.985,1.0,0.31,0.445,200,200,experiments_cloud/results/semantic/gemini-2.5-flash/sweep_full_20260301_144813.json
gemini-2.5-flash,40,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,50,200,experiments_cloud/results/semantic/gemini-2.5-flash/sweep_full_20260301_144813.json
gemini-2.5-flash,40,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,50,200,experiments_cloud/results/semantic/gemini-2.5-flash/sweep_full_20260301_144813.json
gemini-2.5-flash,40,10,1.0,0.87,0.13,1.0,1.0,0.8,0.93,100,200,experiments_cloud/results/semantic/gemini-2.5-flash/sweep_full_20260301_144813.json
gemini-2.5-flash,40,15,1.0,0.7533,0.2467,1.0,1.0,0.6867,0.8267,150,200,experiments_cloud/results/semantic/gemini-2.5-flash/sweep_full_20260301_144813.json
gemini-2.5-flash,40,20,0.995,0.63,0.365,0.985,1.0,0.565,0.695,200,200,experiments_cloud/results/semantic/gemini-2.5-flash/sweep_full_20260301_144813.json
gemini-2.5-flash,40,30,1.0,0.48,0.52,1.0,1.0,0.4099,0.545,200,200,experiments_cloud/results/semantic/gemini-2.5-flash/sweep_full_20260301_144813.json
gemini-2.5-flash,40,50,0.9943,0.2857,0.7086,0.9771,1.0,0.2171,0.3543,175,200,experiments_cloud/results/semantic/gemini-2.5-flash/sweep_full_20260301_144813.json
gemini-2.5-flash,45,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,50,200,experiments_cloud/results/semantic/gemini-2.5-flash/sweep_full_20260301_144813.json
gemini-2.5-flash,45,5,1.0,0.98,0.02,1.0,1.0,0.94,1.0,50,200,experiments_cloud/results/semantic/gemini-2.5-flash/sweep_full_20260301_144813.json
gemini-2.5-flash,45,10,1.0,0.7933,0.2067,1.0,1.0,0.7267,0.8533,150,200,experiments_cloud/results/semantic/gemini-2.5-flash/sweep_full_20260301_144813.json
gemini-2.5-flash,45,15,1.0,0.7143,0.2857,1.0,1.0,0.6457,0.7771,175,200,experiments_cloud/results/semantic/gemini-2.5-flash/sweep_full_20260301_144813.json
gemini-2.5-flash,45,20,0.995,0.58,0.415,0.985,1.0,0.51,0.65,200,200,experiments_cloud/results/semantic/gemini-2.5-flash/sweep_full_20260301_144813.json
gemini-2.5-flash,45,30,1.0,0.38,0.62,1.0,1.0,0.32,0.445,200,200,experiments_cloud/results/semantic/gemini-2.5-flash/sweep_full_20260301_144813.json
gemini-2.5-pro,2,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/gemini-2.5-pro/sweep_full_20260515_212025.json
gemini-2.5-pro,2,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/gemini-2.5-pro/sweep_full_20260515_212025.json
gemini-2.5-pro,2,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/gemini-2.5-pro/sweep_full_20260515_212025.json
gemini-2.5-pro,2,15,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/gemini-2.5-pro/sweep_full_20260515_212025.json
gemini-2.5-pro,2,20,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/gemini-2.5-pro/sweep_full_20260515_212025.json
gemini-2.5-pro,2,30,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/gemini-2.5-pro/sweep_full_20260515_212025.json
gemini-2.5-pro,2,50,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/gemini-2.5-pro/sweep_full_20260515_212025.json
gemini-2.5-pro,5,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/gemini-2.5-pro/sweep_full_20260515_212025.json
gemini-2.5-pro,5,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/gemini-2.5-pro/sweep_full_20260515_212025.json
gemini-2.5-pro,5,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/gemini-2.5-pro/sweep_full_20260515_212025.json
gemini-2.5-pro,5,15,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/gemini-2.5-pro/sweep_full_20260515_212025.json
gemini-2.5-pro,5,20,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/gemini-2.5-pro/sweep_full_20260515_212025.json
gemini-2.5-pro,5,30,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/gemini-2.5-pro/sweep_full_20260515_212025.json
gemini-2.5-pro,5,50,1.0,0.975,0.025,1.0,1.0,0.925,1.0,40,200,experiments_cloud/results/semantic/gemini-2.5-pro/sweep_full_20260515_212025.json
gemini-2.5-pro,10,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/gemini-2.5-pro/sweep_full_20260515_212025.json
gemini-2.5-pro,10,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/gemini-2.5-pro/sweep_full_20260515_212025.json
gemini-2.5-pro,10,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/gemini-2.5-pro/sweep_full_20260515_212025.json
gemini-2.5-pro,10,15,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/gemini-2.5-pro/sweep_full_20260515_212025.json
gemini-2.5-pro,10,20,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/gemini-2.5-pro/sweep_full_20260515_212025.json
gemini-2.5-pro,10,30,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/gemini-2.5-pro/sweep_full_20260515_212025.json
gemini-2.5-pro,10,50,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/gemini-2.5-pro/sweep_full_20260515_212025.json
gemini-2.5-pro,15,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/gemini-2.5-pro/sweep_full_20260515_212025.json
gemini-2.5-pro,15,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/gemini-2.5-pro/sweep_full_20260515_212025.json
gemini-2.5-pro,15,10,0.975,0.975,0.0,0.925,1.0,0.925,1.0,40,200,experiments_cloud/results/semantic/gemini-2.5-pro/sweep_full_20260515_212025.json
gemini-2.5-pro,15,15,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/gemini-2.5-pro/sweep_full_20260515_212025.json
gemini-2.5-pro,15,20,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/gemini-2.5-pro/sweep_full_20260515_212025.json
gemini-2.5-pro,15,30,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/gemini-2.5-pro/sweep_full_20260515_212025.json
gemini-2.5-pro,15,50,1.0,0.975,0.025,1.0,1.0,0.925,1.0,40,200,experiments_cloud/results/semantic/gemini-2.5-pro/sweep_full_20260515_212025.json
gemini-2.5-pro,20,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/gemini-2.5-pro/sweep_full_20260515_212025.json
gemini-2.5-pro,20,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/gemini-2.5-pro/sweep_full_20260515_212025.json
gemini-2.5-pro,20,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/gemini-2.5-pro/sweep_full_20260515_212025.json
gemini-2.5-pro,20,15,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/gemini-2.5-pro/sweep_full_20260515_212025.json
gemini-2.5-pro,20,20,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/gemini-2.5-pro/sweep_full_20260515_212025.json
gemini-2.5-pro,20,30,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/gemini-2.5-pro/sweep_full_20260515_212025.json
gemini-2.5-pro,20,50,0.9,0.7688,0.1312,0.85,0.9438,0.7,0.8312,160,200,experiments_cloud/results/semantic/gemini-2.5-pro/sweep_full_20260515_212025.json
gemini-2.5-pro,25,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/gemini-2.5-pro/sweep_full_20260515_212025.json
gemini-2.5-pro,25,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/gemini-2.5-pro/sweep_full_20260515_212025.json
gemini-2.5-pro,25,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/gemini-2.5-pro/sweep_full_20260515_212025.json
gemini-2.5-pro,25,15,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/gemini-2.5-pro/sweep_full_20260515_212025.json
gemini-2.5-pro,25,20,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/gemini-2.5-pro/sweep_full_20260515_212025.json
gemini-2.5-pro,25,30,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/gemini-2.5-pro/sweep_full_20260515_212025.json
gemini-2.5-pro,25,50,1.0,0.7312,0.2688,1.0,1.0,0.6625,0.8,160,200,experiments_cloud/results/semantic/gemini-2.5-pro/sweep_full_20260515_212025.json
gemini-2.5-pro,30,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/gemini-2.5-pro/sweep_full_20260515_212025.json
gemini-2.5-pro,30,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/gemini-2.5-pro/sweep_full_20260515_212025.json
gemini-2.5-pro,30,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/gemini-2.5-pro/sweep_full_20260515_212025.json
gemini-2.5-pro,30,15,0.975,0.975,0.0,0.925,1.0,0.925,1.0,40,200,experiments_cloud/results/semantic/gemini-2.5-pro/sweep_full_20260515_212025.json
gemini-2.5-pro,30,20,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/gemini-2.5-pro/sweep_full_20260515_212025.json
gemini-2.5-pro,30,30,1.0,0.9375,0.0625,1.0,1.0,0.875,0.9875,80,200,experiments_cloud/results/semantic/gemini-2.5-pro/sweep_full_20260515_212025.json
gemini-2.5-pro,30,50,1.0,0.62,0.38,1.0,1.0,0.555,0.69,200,200,experiments_cloud/results/semantic/gemini-2.5-pro/sweep_full_20260515_212025.json
gemini-2.5-pro,40,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/gemini-2.5-pro/sweep_full_20260515_212025.json
gemini-2.5-pro,40,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/gemini-2.5-pro/sweep_full_20260515_212025.json
gemini-2.5-pro,40,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/gemini-2.5-pro/sweep_full_20260515_212025.json
gemini-2.5-pro,40,15,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/gemini-2.5-pro/sweep_full_20260515_212025.json
gemini-2.5-pro,40,20,1.0,0.95,0.05,1.0,1.0,0.9,0.9875,80,200,experiments_cloud/results/semantic/gemini-2.5-pro/sweep_full_20260515_212025.json
gemini-2.5-pro,40,30,1.0,0.7312,0.2688,1.0,1.0,0.6625,0.8,160,200,experiments_cloud/results/semantic/gemini-2.5-pro/sweep_full_20260515_212025.json
gemini-2.5-pro,40,50,1.0,0.355,0.645,1.0,1.0,0.29,0.425,200,200,experiments_cloud/results/semantic/gemini-2.5-pro/sweep_full_20260515_212025.json
gemini-2.5-pro,45,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/gemini-2.5-pro/sweep_full_20260515_212025.json
gemini-2.5-pro,45,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/gemini-2.5-pro/sweep_full_20260515_212025.json
gemini-2.5-pro,45,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/gemini-2.5-pro/sweep_full_20260515_212025.json
gemini-2.5-pro,45,15,0.975,0.975,0.0,0.925,1.0,0.925,1.0,40,200,experiments_cloud/results/semantic/gemini-2.5-pro/sweep_full_20260515_212025.json
gemini-2.5-pro,45,20,1.0,0.9,0.1,1.0,1.0,0.825,0.9625,80,200,experiments_cloud/results/semantic/gemini-2.5-pro/sweep_full_20260515_212025.json
gemini-2.5-pro,45,30,0.935,0.585,0.35,0.8999,0.965,0.515,0.65,200,200,experiments_cloud/results/semantic/gemini-2.5-pro/sweep_full_20260515_212025.json
gpt-4.1,2,1,0.975,0.975,0.0,0.925,1.0,0.925,1.0,40,200,experiments_cloud/results/semantic/gpt-4.1/sweep_full_20260515_205642.json
gpt-4.1,2,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/gpt-4.1/sweep_full_20260515_205642.json
gpt-4.1,2,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/gpt-4.1/sweep_full_20260515_205642.json
gpt-4.1,2,15,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/gpt-4.1/sweep_full_20260515_205642.json
gpt-4.1,2,20,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/gpt-4.1/sweep_full_20260515_205642.json
gpt-4.1,2,30,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/gpt-4.1/sweep_full_20260515_205642.json
gpt-4.1,2,50,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/gpt-4.1/sweep_full_20260515_205642.json
gpt-4.1,5,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/gpt-4.1/sweep_full_20260515_205642.json
gpt-4.1,5,5,0.975,1.0,-0.025,0.925,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/gpt-4.1/sweep_full_20260515_205642.json
gpt-4.1,5,10,1.0,0.975,0.025,1.0,1.0,0.925,1.0,40,200,experiments_cloud/results/semantic/gpt-4.1/sweep_full_20260515_205642.json
gpt-4.1,5,15,1.0,0.975,0.025,1.0,1.0,0.9375,1.0,80,200,experiments_cloud/results/semantic/gpt-4.1/sweep_full_20260515_205642.json
gpt-4.1,5,20,1.0,0.95,0.05,1.0,1.0,0.9,0.9875,80,200,experiments_cloud/results/semantic/gpt-4.1/sweep_full_20260515_205642.json
gpt-4.1,5,30,1.0,0.95,0.05,1.0,1.0,0.9,0.9875,80,200,experiments_cloud/results/semantic/gpt-4.1/sweep_full_20260515_205642.json
gpt-4.1,5,50,1.0,0.8833,0.1167,1.0,1.0,0.825,0.9333,120,200,experiments_cloud/results/semantic/gpt-4.1/sweep_full_20260515_205642.json
gpt-4.1,10,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/gpt-4.1/sweep_full_20260515_205642.json
gpt-4.1,10,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/gpt-4.1/sweep_full_20260515_205642.json
gpt-4.1,10,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/gpt-4.1/sweep_full_20260515_205642.json
gpt-4.1,10,15,1.0,0.8875,0.1125,1.0,1.0,0.8125,0.95,80,200,experiments_cloud/results/semantic/gpt-4.1/sweep_full_20260515_205642.json
gpt-4.1,10,20,0.7,0.565,0.135,0.635,0.76,0.495,0.635,200,200,experiments_cloud/results/semantic/gpt-4.1/sweep_full_20260515_205642.json
gpt-4.1,10,30,0.9917,0.8167,0.175,0.975,1.0,0.7417,0.8833,120,200,experiments_cloud/results/semantic/gpt-4.1/sweep_full_20260515_205642.json
gpt-4.1,10,50,0.9938,0.7562,0.2376,0.9812,1.0,0.6875,0.825,160,200,experiments_cloud/results/semantic/gpt-4.1/sweep_full_20260515_205642.json
gpt-4.1,15,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/gpt-4.1/sweep_full_20260515_205642.json
gpt-4.1,15,5,0.975,0.975,0.0,0.925,1.0,0.925,1.0,40,200,experiments_cloud/results/semantic/gpt-4.1/sweep_full_20260515_205642.json
gpt-4.1,15,10,1.0,0.975,0.025,1.0,1.0,0.925,1.0,40,200,experiments_cloud/results/semantic/gpt-4.1/sweep_full_20260515_205642.json
gpt-4.1,15,15,1.0,0.8333,0.1667,1.0,1.0,0.7583,0.9,120,200,experiments_cloud/results/semantic/gpt-4.1/sweep_full_20260515_205642.json
gpt-4.1,15,20,1.0,0.8,0.2,1.0,1.0,0.7375,0.8625,160,200,experiments_cloud/results/semantic/gpt-4.1/sweep_full_20260515_205642.json
gpt-4.1,15,30,0.9938,0.7875,0.2063,0.9812,1.0,0.725,0.85,160,200,experiments_cloud/results/semantic/gpt-4.1/sweep_full_20260515_205642.json
gpt-4.1,15,50,1.0,0.72,0.28,1.0,1.0,0.655,0.785,200,200,experiments_cloud/results/semantic/gpt-4.1/sweep_full_20260515_205642.json
gpt-4.1,20,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/gpt-4.1/sweep_full_20260515_205642.json
gpt-4.1,20,5,1.0,0.975,0.025,1.0,1.0,0.9375,1.0,80,200,experiments_cloud/results/semantic/gpt-4.1/sweep_full_20260515_205642.json
gpt-4.1,20,10,1.0,0.8583,0.1417,1.0,1.0,0.7917,0.9167,120,200,experiments_cloud/results/semantic/gpt-4.1/sweep_full_20260515_205642.json
gpt-4.1,20,15,1.0,0.8083,0.1917,1.0,1.0,0.7417,0.875,120,200,experiments_cloud/results/semantic/gpt-4.1/sweep_full_20260515_205642.json
gpt-4.1,20,20,0.9875,0.7625,0.225,0.9688,1.0,0.6938,0.825,160,200,experiments_cloud/results/semantic/gpt-4.1/sweep_full_20260515_205642.json
gpt-4.1,20,30,1.0,0.7625,0.2375,1.0,1.0,0.7,0.825,160,200,experiments_cloud/results/semantic/gpt-4.1/sweep_full_20260515_205642.json
gpt-4.1,20,50,1.0,0.7062,0.2938,1.0,1.0,0.6375,0.775,160,200,experiments_cloud/results/semantic/gpt-4.1/sweep_full_20260515_205642.json
gpt-4.1,25,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/gpt-4.1/sweep_full_20260515_205642.json
gpt-4.1,25,5,1.0,0.975,0.025,1.0,1.0,0.925,1.0,40,200,experiments_cloud/results/semantic/gpt-4.1/sweep_full_20260515_205642.json
gpt-4.1,25,10,1.0,0.8417,0.1583,1.0,1.0,0.775,0.9083,120,200,experiments_cloud/results/semantic/gpt-4.1/sweep_full_20260515_205642.json
gpt-4.1,25,15,1.0,0.7625,0.2375,1.0,1.0,0.6938,0.8312,160,200,experiments_cloud/results/semantic/gpt-4.1/sweep_full_20260515_205642.json
gpt-4.1,25,20,1.0,0.8167,0.1833,1.0,1.0,0.75,0.8833,120,200,experiments_cloud/results/semantic/gpt-4.1/sweep_full_20260515_205642.json
gpt-4.1,25,30,1.0,0.7375,0.2625,1.0,1.0,0.6688,0.8062,160,200,experiments_cloud/results/semantic/gpt-4.1/sweep_full_20260515_205642.json
gpt-4.1,25,50,1.0,0.68,0.32,1.0,1.0,0.615,0.745,200,200,experiments_cloud/results/semantic/gpt-4.1/sweep_full_20260515_205642.json
gpt-4.1,30,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/gpt-4.1/sweep_full_20260515_205642.json
gpt-4.1,30,5,1.0,0.975,0.025,1.0,1.0,0.9375,1.0,80,200,experiments_cloud/results/semantic/gpt-4.1/sweep_full_20260515_205642.json
gpt-4.1,30,10,0.9938,0.7562,0.2376,0.9812,1.0,0.6875,0.8189,160,200,experiments_cloud/results/semantic/gpt-4.1/sweep_full_20260515_205642.json
gpt-4.1,30,15,0.825,0.65,0.175,0.77,0.875,0.585,0.715,200,200,experiments_cloud/results/semantic/gpt-4.1/sweep_full_20260515_205642.json
gpt-4.1,30,20,1.0,0.7188,0.2812,1.0,1.0,0.65,0.7875,160,200,experiments_cloud/results/semantic/gpt-4.1/sweep_full_20260515_205642.json
gpt-4.1,30,30,1.0,0.67,0.33,1.0,1.0,0.605,0.735,200,200,experiments_cloud/results/semantic/gpt-4.1/sweep_full_20260515_205642.json
gpt-4.1,30,50,0.99,0.655,0.335,0.975,1.0,0.59,0.72,200,200,experiments_cloud/results/semantic/gpt-4.1/sweep_full_20260515_205642.json
gpt-4.1,40,1,0.975,1.0,-0.025,0.925,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/gpt-4.1/sweep_full_20260515_205642.json
gpt-4.1,40,5,1.0,0.8875,0.1125,1.0,1.0,0.8125,0.95,80,200,experiments_cloud/results/semantic/gpt-4.1/sweep_full_20260515_205642.json
gpt-4.1,40,10,1.0,0.8167,0.1833,1.0,1.0,0.75,0.8833,120,200,experiments_cloud/results/semantic/gpt-4.1/sweep_full_20260515_205642.json
gpt-4.1,40,15,1.0,0.7312,0.2688,1.0,1.0,0.6625,0.8,160,200,experiments_cloud/results/semantic/gpt-4.1/sweep_full_20260515_205642.json
gpt-4.1,40,20,0.995,0.69,0.305,0.985,1.0,0.62,0.755,200,200,experiments_cloud/results/semantic/gpt-4.1/sweep_full_20260515_205642.json
gpt-4.1,40,30,0.9938,0.7062,0.2876,0.9812,1.0,0.6312,0.775,160,200,experiments_cloud/results/semantic/gpt-4.1/sweep_full_20260515_205642.json
gpt-4.1,40,50,0.995,0.63,0.365,0.985,1.0,0.56,0.7,200,200,experiments_cloud/results/semantic/gpt-4.1/sweep_full_20260515_205642.json
gpt-4.1,45,1,0.975,1.0,-0.025,0.9375,1.0,1.0,1.0,80,200,experiments_cloud/results/semantic/gpt-4.1/sweep_full_20260515_205642.json
gpt-4.1,45,5,1.0,0.9125,0.0875,1.0,1.0,0.85,0.9628,80,200,experiments_cloud/results/semantic/gpt-4.1/sweep_full_20260515_205642.json
gpt-4.1,45,10,1.0,0.725,0.275,1.0,1.0,0.65,0.7938,160,200,experiments_cloud/results/semantic/gpt-4.1/sweep_full_20260515_205642.json
gpt-4.1,45,15,0.995,0.71,0.285,0.985,1.0,0.645,0.77,200,200,experiments_cloud/results/semantic/gpt-4.1/sweep_full_20260515_205642.json
gpt-4.1,45,20,0.99,0.68,0.31,0.975,1.0,0.615,0.7451,200,200,experiments_cloud/results/semantic/gpt-4.1/sweep_full_20260515_205642.json
gpt-4.1,45,30,0.99,0.7,0.29,0.975,1.0,0.635,0.7601,200,200,experiments_cloud/results/semantic/gpt-4.1/sweep_full_20260515_205642.json
gpt-4.1-mini,2,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,50,200,experiments_cloud/results/semantic/gpt-4.1-mini/sweep_full_20260301_133210.json
gpt-4.1-mini,2,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,50,200,experiments_cloud/results/semantic/gpt-4.1-mini/sweep_full_20260301_133210.json
gpt-4.1-mini,2,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0,50,200,experiments_cloud/results/semantic/gpt-4.1-mini/sweep_full_20260301_133210.json
gpt-4.1-mini,2,15,1.0,1.0,0.0,1.0,1.0,1.0,1.0,50,200,experiments_cloud/results/semantic/gpt-4.1-mini/sweep_full_20260301_133210.json
gpt-4.1-mini,2,20,1.0,1.0,0.0,1.0,1.0,1.0,1.0,50,200,experiments_cloud/results/semantic/gpt-4.1-mini/sweep_full_20260301_133210.json
gpt-4.1-mini,2,30,1.0,0.98,0.02,1.0,1.0,0.94,1.0,50,200,experiments_cloud/results/semantic/gpt-4.1-mini/sweep_full_20260301_133210.json
gpt-4.1-mini,2,50,1.0,1.0,0.0,1.0,1.0,1.0,1.0,50,200,experiments_cloud/results/semantic/gpt-4.1-mini/sweep_full_20260301_133210.json
gpt-4.1-mini,5,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,50,200,experiments_cloud/results/semantic/gpt-4.1-mini/sweep_full_20260301_133210.json
gpt-4.1-mini,5,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,50,200,experiments_cloud/results/semantic/gpt-4.1-mini/sweep_full_20260301_133210.json
gpt-4.1-mini,5,10,1.0,0.98,0.02,1.0,1.0,0.94,1.0,50,200,experiments_cloud/results/semantic/gpt-4.1-mini/sweep_full_20260301_133210.json
gpt-4.1-mini,5,15,1.0,0.98,0.02,1.0,1.0,0.94,1.0,50,200,experiments_cloud/results/semantic/gpt-4.1-mini/sweep_full_20260301_133210.json
gpt-4.1-mini,5,20,1.0,0.96,0.04,1.0,1.0,0.9,1.0,50,200,experiments_cloud/results/semantic/gpt-4.1-mini/sweep_full_20260301_133210.json
gpt-4.1-mini,5,30,1.0,0.96,0.04,1.0,1.0,0.9,1.0,50,200,experiments_cloud/results/semantic/gpt-4.1-mini/sweep_full_20260301_133210.json
